,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
1201,CPGNUtpp,Coprogen unloaded secretion,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1202,CPGNUtex,Coprogen unloaded secretion (extracellular),Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1203,AAMYL,Alpha-amylase,Cytoplasmic,Alternate Carbon Metabolism,132.0,b1927,56639.0,0,0,[56639.0],[0.0],['Cytoplasmic'],[0]
1204,AAMYLpp,Alpha-amylase (periplasm),Cytoplasmic,Alternate Carbon Metabolism,132.0,b3571,75713.0,0,0,[75713.0],[0.0],['Cytoplasmic'],[0]
1205,FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),Cytoplasmic,Cell Envelope Biosynthesis,0.029,b1805 or b1701,62332.0,0,0,"[62332.0, 62759.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
1206,PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,2.985,b3650,79342.0,0,0,[79342.0],[0.0],['Cytoplasmic'],[0]
1207,CPGNabcpp,Coprogen transport via ABC system (periplasm),Inner Membrane,"Transport, Inner Membrane",95.19583333,b0151 and b0153 and b0152,132307.0,40333.17273,18,[132307.0],[40333.17273],['Inner Membrane'],[18]
1208,CPGNexs,Coprogen Fe-loading reaction (spontaneaous),Inner Membrane,Inorganic Ion Transport and Metabolism,nan,s0001,0,0,0,[0.0],[0.0],['Inner Membrane'],[0]
1209,CITtex_f,Citrate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1210,ACGAtex_f,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
