,forward,reverse
PAPA120pp,152.0,
PLIPA1E161pp,2.48,
CLPNH140pp,,
FRUURt2rpp,22.0,22.0
NTPP2,2.55,
OXDHCOAT,7.8,
HPPPNDO,29.0,
FEOXAMabcpp,95.19583333,
GSPMDA,2.1,
TYRt2rpp,22.0,22.0
UACMAMO,0.4,
EAR80x,5.3,
HPACOAT,100.0,
TYRPtex,100000000.0,100000000.0
ZNabcpp,95.19583333,
HEPK1,14.80483333,
PPM2,173.0,173.0
UM3PL,4.83,
SERD_L,436.0,
MDDCP3pp,1.41,
LPLIPAL2ATE180,1016.0,
PTHRpp,67.0,
MANtex,100000000.0,100000000.0
5MTRtex,100000000.0,100000000.0
RBK_L1,40.42,
PGPP161,24.0,
2AGPEAT160,46.80901367,
PYDXtpp,,
H2St1pp,,
FEENTERtex,22.0,
4PCP,160.0,
AM4PA,25.0,
GALCTNt2pp,22.0,
CXSAMS,417.0,
XANtex,100000000.0,100000000.0
GLCNt2rpp,22.0,22.0
CYSItpp,22.0,
MOBDtex,100000000.0,100000000.0
NDPK5,571.5,783.0
FOMETRi,1.515,
APRAUR,7.3275,
CYANST,230.0,
AGM4PH,185.2,
UHGADA,1.5,
ACGAptspp,72.77916667,
XYLK2,35.42,
LYSabcpp,95.19583333,
AADDGT,18.3185,
TMDK1,2.0,
P5CD,5.16,
MOBDabcpp,95.19583333,
FMNRx,34.0,
GLDBRAN2,40.46666667,
VALt2rpp,22.0,
ALTRH,368.4865,
3HAD121,368.4865,
OPMEACPS,0.05165,
LYSt2pp,22.0,
INSt2pp,22.0,
OXCDC,60.7,
HIStex,100000000.0,100000000.0
ALCD19,153.0,1.0
CTBTt2rpp,22.0,22.0
DHQTi,215.0,
GDMANE,0.75,
PPAKr,120.0,114.0
THFAT,12.285,
CLPNS160pp,1.0,0.025375
PSSA140,1.0,
ALLK,14.80483333,
TPRDCOAS,0.01415,
ADSL1r,5.8,2.9
PUACGAMS,35.875,0.338783333
COBALT2t3pp,22.0,
T2DECAI,15.0,15.0
NTD8,2.16,
G3PGtex,100000000.0,100000000.0
TAURtex,100000000.0,100000000.0
2AGPGAT140,0.016,
UDPGPpp,71.0,
BMOGDS1,0.0048,
DMSOR1pp,40.2,
PNSPA,1.12,
ACOAD6f,5.556666667,6.0
PPPNDO,4.5,
FECRMR2,,
FBA,10.8,2.6
ALATA_L2,6.8625,
PAPA181,152.0,
GTHPi,241.6128571,
CGLYabcpp,22.0,
UREAtex,100000000.0,100000000.0
OHPHM,0.0524684,
E4PP,0.766,
ALAtpp,100000000.0,
DHAD2,11.5,
LSERDHr,4.2,3.78
F6Pt6_2pp,22.0,
GLTPD,76.08846667,213.4339433
GHMT2r,12.285,5.0
FEENTERtpp,22.0,
FACOAL120t2pp,0.029,
NTPP10,152.4,
LACZpp,11.7,
PUNP4,44.93,111.0
L_LACD2,53.847349,
PSD180,75.042,
DAGK160,10.40333333,
PPAtex,100000000.0,100000000.0
MAN6Pt6_2pp,22.0,
ACt2rpp,22.0,22.0
LPLIPAL2ATG120,1016.0,
COLIPAabcpp,95.19583333,
TREtex,100000000.0,100000000.0
CYTBO3_4pp,320.5,
NTD4pp,202.0,
GPDDA3,2.8,
ACOATA,3.765,0.46
ALAR,27.6,2.0
TARTt2_3pp,22.0,
PE180abcpp,95.19583333,
GMHEPK,192.4024167,
TDPAGTA,0.38,
NTD11,104.0,
5MTRtpp,,
6D6SFK,14.80483333,
LALADGLUtpp,22.0,
NI2uabcpp,95.19583333,
SQGH,14.3,
CYSDS,25.35,
APH140,1.55e-06,
34dhpactex,100000000.0,100000000.0
PPA2,3.46,
GBBTNtex,100000000.0,100000000.0
TDP,90.13177273,
PSP_Lpp,37.55,
HACD3,229.0,0.004
DHNCOAS,0.062,
ACMANAtex,100000000.0,100000000.0
CH4t2pp,,
Kt3pp,22.0,
3NTD9pp,16.82333333,
NO3R1pp,68.0,
2AGPEAT161,0.016,
G5SADs,,
ACOAD1f,8.01,
23PDE4pp,7.63,
VALt3pp,22.0,
TAUDO,3.3,
DXPRIi,32.25,
LYStex,100000000.0,100000000.0
BETALDHy,60.384,
PSURItpp,22.0,
INSH,2.198,
THYMtex,100000000.0,100000000.0
FRULYStex,100000000.0,100000000.0
HOMt2pp,22.0,
RMNtex,100000000.0,100000000.0
DURIt2pp,22.0,
EAR141x,5.3,
THMtex,100000000.0,100000000.0
ACACT8r,1.4,1.4
THMDt2pp_copy2,22.0,22.0
NODOy,670.0,
LCTStpp,22.0,
MPTG2,36.57,
GLYtex,100000000.0,100000000.0
PLIPA2A141pp,3.86,
FORtex,100000000.0,100000000.0
AOBUTDs,,
FCLT,0.013,
ACCOAL,51.46666667,
IG3PS,138.0,
INDOLEtex,100000000.0,100000000.0
CMtpp,22.0,
DNMPPA,,
PPGPPDP,2.985,
MLTGY2pp,291.6204286,
ACPPAT161,1500.0,
BWCOGDS1,0.0048,
ECAP3pp,18.3185,
ALR2,45.92333333,
GLBRAN2,0.15,
PSSA141,1.0,
DHPTDNR,20.0,
CLPNH120pp,,
GLYC3Pabcpp,95.19583333,
MLDCP1App,106.3,
NADHXE,0.33,0.33
NADPHXE,0.33,0.33
CYTD,4.8,
QULNS,16.08025,
PA120abcpp,95.19583333,
OGMEACPR,0.59,
CYSabc2pp,22.0,
AGt3,22.0,
ADEtex,100000000.0,100000000.0
LPLIPAL1A160pp,1016.0,
MDDCP1pp,1.41,
UPP3S,500.0,
NDPK3,571.5,458.7
ALLPI,2100.0,2100.0
GTHRDabcpp,95.19583333,
LCTSt3ipp,22.0,
SUCCtex,100000000.0,100000000.0
ENO,141.4,34.07
DSERt2pp,22.0,
KDOPP,1.14,
DGK1,510.0,209.0
PHYTSpp,6931.0,
GLUABUTt7pp,22.0,22.0
