Model,FVA_Percent,Analysis_Type,Gamma_fMSA,ATPM,Uptake_Bound,Reaction,Original_Value,Min_Value,Max_Value,FVA_Difference
Homog,0,nonmembrane,0.3,6.89,1000,rx_DOGULNR,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_BETALDHx,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_BETALDHy,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_MLTG3,0,0,121.828812559368,121.828812559368
Homog,0,nonmembrane,0.3,6.89,1000,rx_DKGLCNR1,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_NADTRHD,0,0,234.946723431033,234.946723431033
Homog,0,nonmembrane,0.3,6.89,1000,rx_FMNRx2,0,0,25.2106247547696,25.2106247547696
Homog,0,nonmembrane,0.3,6.89,1000,rx_ACPS1,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_nmn_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_urea_e_f,0,0,13.358709753738,13.358709753738
Homog,0,nonmembrane,0.3,6.89,1000,rx_GMPS2,0,0,39.9736654833911,39.9736654833911
Homog,0,nonmembrane,0.3,6.89,1000,rx_AMPN,0,0,121.828812559368,121.828812559368
Homog,0,nonmembrane,0.3,6.89,1000,rx_GSNK,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_f6p_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADCS,0.00089201245035489,0,11.942988917964,11.942988917964
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADCL,0.00089201245035489,0,11.942988917964,11.942988917964
