export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiCm,phiR,phiCc,unassigned
0.05,0.25,11.5625,0.7968125713018749,0.2350717415569679,0.010536404491558576,0.09405986870936352,0.00967065840930854,0.13466132455001686,0.0,0.48399999999885707
0.05,0.25,12.12673611111111,0.8091053570333973,0.23309813484896663,0.011220626971736525,0.09279985573093047,0.0101425749232763,0.13673880533864413,0.0,0.4839999999997422
0.05,0.25,12.777777777777779,0.823187601380855,0.23083723058048095,0.012049717863187988,0.09130725084834942,0.010687093977854485,0.1391187046333645,0.0,0.4840000000000095
0.05,0.25,13.515625,0.838903498146356,0.2283140434594294,0.013084326926161705,0.0895227208094654,0.011304215573043092,0.14177469118673416,0.0,0.48399999999996185
0.05,0.25,14.340277777777777,0.8554153149341106,0.22566307127629498,0.014784582297142685,0.08699321665962335,0.011993939708842124,0.14456518822386472,0.0,0.4839999999999758
0.05,0.25,15.25173611111111,0.8694276083484166,0.223413397563018,0.015564846667747547,0.0853322214593732,0.012756266385251581,0.14693326581088242,0.0,0.4839999999999749
0.05,0.25,16.25,0.8836896661575806,0.22112362417088882,0.017095345875706755,0.08284627843324976,0.013591195602271462,0.14934355358063114,0.0,0.48399999999999455
0.05,0.25,17.335069444444443,0.8965733211302204,0.21905515336280618,0.01818612363070101,0.08073910206504,0.014498727359901768,0.15152089127100726,0.0,0.48400000000000165
0.05,0.25,18.506944444444443,0.9104668761586323,0.21682454310171584,0.019316803026733696,0.0785108878610883,0.015478861658142499,0.15386890207080886,0.0,0.48400000000000437
0.05,0.25,19.765625,0.9253895834113672,0.2144287024509058,0.02053123645210286,0.07611762075313964,0.016531598496993656,0.1563908395965211,0.0,0.48399999999999643
0.05,0.25,21.11111111111111,0.9413414428884289,0.21186763141039044,0.021829423906807695,0.0735593007411945,0.017656937876455232,0.1590867038481445,0.0,0.48399999999999377
0.05,0.25,22.54340277777778,0.9583224545898197,0.2091413299801651,0.02321136539084762,0.07083592782525364,0.018854879796527238,0.16195649482567953,0.0,0.4839999999999917
0.05,0.25,24.0625,0.9756385854767644,0.20636122516506436,0.024693152828656997,0.06793727472024273,0.020125424257209666,0.1648829209455732,0.0,0.4840000000000001
0.05,0.25,25.66840277777778,0.9873542964992058,0.2046081223510942,0.0262130539804655,0.06484737453060704,0.02146857125850252,0.16686287610836578,0.0,0.48399999999999654
0.05,0.25,27.361111111111107,0.9937802319574258,0.20832443738266299,0.027596765331660868,0.057245616129494144,0.022884320800405793,0.16794885920080496,0.0,0.483999999999995
0.05,0.25,29.140625,0.999955427996793,0.2125901422945559,0.029058394614096726,0.048986322359355544,0.0243726728829195,0.16899246733145804,0.0,0.48400000000002086
0.05,0.25,31.006944444444443,0.9999658369995801,0.21274870007582375,0.029100320465776788,0.04875470268360582,0.02440204981437825,0.16899422645292905,0.0,0.4840000000000091
0.05,0.25,32.96006944444444,0.9999658369995714,0.21274870007581934,0.029100320465776704,0.04875470268360438,0.02440204981437817,0.16899422645292758,0.0,0.4840000000000012
0.05,0.25,35.0,0.9999658369995744,0.2127487000758171,0.029100320465753334,0.0487547026836049,0.024402049814378133,0.16899422645292808,0.0,0.48399999999997684
0.05,0.2,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.2,0.8857142857142859,0.05401264101499034,0.08689437636051865,0.0006078324912931518,0.01520928019057995,0.0007407948372227085,0.009128136331533369,0.0,0.11258042069424842
0.05,0.2,1.5714285714285716,0.11638596110601018,0.15537532587880007,0.0013097520758331793,0.02238449032801814,0.0013143134208789989,0.019669227426915722,0.0,0.20005310982713584
0.05,0.2,2.2571428571428576,0.17848094739296133,0.21040317180201196,0.0020085394245417353,0.029666774500082288,0.0018878320045352893,0.030163280109410467,0.0,0.2741295987527344
0.05,0.2,2.9428571428571435,0.24056502595951004,0.2646881216723955,0.002707204022969199,0.03695325483378806,0.00246135058819158,0.0406554893871572,0.0,0.3474654216303735
0.05,0.2,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422912,0.04423973516748968,0.00303486917184787,0.05114769866490698,0.0,0.4208024646487076
0.05,0.2,4.314285714285715,0.3646148279272221,0.36309675715158546,0.004103201307263016,0.05157174631668221,0.0036083877555041603,0.06161990591970054,0.0,0.48400000000022225
0.05,0.2,5.000000000000001,0.425845785469122,0.34387146957775416,0.004792265288722912,0.05918641930538525,0.004181906339160451,0.07196793774428162,0.0,0.48400000000025256
