export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiT,phiCm,phiR,phiCc,unassigned
0.05,0.3,2.9428571428571435,0.24056502595951,0.2646881216723955,0.0027072040229691,0.036953254833788,0.0020327744693578596,0.0024613505881915,0.03862271491779934,0.1365345794954987,0.3474654216303735
0.05,0.3,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422,0.0442397351674896,0.0025573849332453493,0.0030348691718478,0.04859031373166155,0.06319753669267542,0.4208024646487076
0.05,0.3,4.314285714285715,0.3646148279272221,0.3630967571515854,0.004103201307263,0.0515717463166822,0.0030809952959850273,0.0036083877555041,0.058538910623715475,1.5492647720272146e-09,0.4840000000002222
0.05,0.3,5.000000000000001,0.425845785469122,0.3438714695777541,0.0047922652887229,0.0591864193053852,0.003598396887214081,0.0041819063391604,0.06836954085706752,1.7446957767397464e-09,0.4840000000002525
0.05,0.3,5.685714285714287,0.485375761558339,0.3247887345404195,0.0054621872364924,0.0669651475947127,0.004101425185167965,0.0047554249228167,0.07792707851819133,2.002199406270222e-09,0.4839999999999794
0.05,0.3,6.371428571428573,0.5441555479730869,0.3057552246242576,0.006123666907598,0.0748298750663024,0.0045981143803725845,0.005328943506473,0.08736417322707903,2.2879173555701016e-09,0.4839999999997992
0.05,0.3,7.057142857142859,0.6029100026330142,0.2867221282207395,0.0067848615072217,0.0826987551665146,0.005094589522248971,0.0059024620901293,0.09679720092273042,2.5704155470762657e-09,0.4839999999999838
0.05,0.3,7.742857142857145,0.6597548209822477,0.2676081506789496,0.0074245659709365,0.0909927351149309,0.005574928237299994,0.0064759806737856,0.1059236365086998,2.815397637245809e-09,0.4839999999999738
0.05,0.3,8.428571428571429,0.7156098593126012,0.2484379160642458,0.0080531319225662,0.0995213835001739,0.006046903311191482,0.0070494992574419,0.11489116291263812,3.0317425236958684e-09,0.4839999999999755
0.05,0.3,9.114285714285716,0.7448381448834852,0.2407003184269739,0.008916276488552,0.1008827377820768,0.00629388232426545,0.0076230178410981,0.11958376416104355,2.9759901765125107e-09,0.4839999999999567
0.05,0.3,9.8,0.7711482288599826,0.2342277053086147,0.0098056683819175,0.1014460363263768,0.006516202533866854,0.0081965364247544,0.12380784814347014,2.880999661059036e-09,0.4840000000000121
0.05,0.3,10.0,0.7788220033531299,0.2323398598157611,0.0100650743507956,0.1016103317351311,0.0065810459283339486,0.0083638126783209,0.12503987263834496,2.8533123641594216e-09,0.4840000000000093
0.05,0.3,10.04340277777778,0.7804873189983421,0.2319301711237475,0.0101213690489003,0.1016459861207114,0.006595117845535992,0.0084001139486261,0.12530723906518382,2.8472948443436508e-09,0.4840000000000193
0.05,0.3,10.17361111111111,0.7854832659339852,0.2307011050476775,0.0102902531432148,0.1017529492774525,0.006637333597142176,0.0085090177595417,0.12610933834570134,2.8292699294496515e-09,0.4840000000000169
0.05,0.3,10.390625,0.7938098441600474,0.2286526615874142,0.0105717266337832,0.1019312212053544,0.006707693183152401,0.0086905241110678,0.1274461704798956,2.7993323770125755e-09,0.4839999999999095
0.05,0.3,10.694444444444445,0.8031743194672692,0.2262565577743254,0.0109555693416216,0.1021067771032673,0.0067868229994984255,0.0089446330032042,0.12894963699047007,2.787613029298086e-09,0.4840000000000064
0.05,0.3,11.085069444444445,0.8114551511610658,0.2241405471128394,0.0114439941123421,0.1020081909257703,0.006856796027311006,0.0092713444359512,0.13027912451890908,2.8668769580519893e-09,0.4839999999999896
0.05,0.3,11.5625,0.821576167675695,0.2215543118599261,0.0120409577210173,0.1018876967088299,0.0069423186168596236,0.0096706584093085,0.1319040537203328,2.963725820315233e-09,0.483999999999998
0.05,0.3,12.12673611111111,0.832601357715282,0.2200749021047678,0.0128211264182667,0.1002517642090864,0.0070354814726941335,0.0101425749232763,0.13367414798118846,2.8907202187511416e-09,0.4839999999999895
0.05,0.3,12.77777777777778,0.8446496738300445,0.219496953409435,0.0137792484265911,0.0972909066370959,0.007137289743863877,0.0106870939778544,0.13560850513341363,2.671746157645316e-09,0.4839999999999926
0.05,0.3,13.515625,0.858304432093442,0.2188419448880588,0.0148651200360257,0.0939352680555079,0.007252672451189585,0.011304215573043,0.13780077657260212,2.4235728979249416e-09,0.4839999999999993
0.05,0.3,14.340277777777777,0.8718435068314693,0.2138047804747018,0.0158469097319861,0.0950128150393253,0.0073670776327259165,0.0119939397088421,0.13997447502179236,2.3906263635353753e-09,0.4840000000000019
0.05,0.3,15.25173611111111,0.8859513237990141,0.2080850748737973,0.01691097550005,0.0963891568921921,0.007486288686101669,0.0128890166508853,0.14223948503593165,2.3610419730424326e-09,0.484000000000006
0.05,0.3,16.25,0.8995456856349571,0.2021312242158823,0.0180607986077378,0.0975743950362694,0.007601161043615389,0.0142103589096217,0.14442205982869233,2.358181039330276e-09,0.4839999999999975
0.05,0.3,17.335069444444443,0.9112645324835172,0.1999037118694743,0.0191265881588457,0.0956949346273415,0.007700185299485721,0.0152710570302635,0.1463035206902287,2.324360592886876e-09,0.4839999999999988
0.05,0.3,18.506944444444443,0.9230760943924778,0.2005004751486528,0.0201278223365253,0.0912751995045178,0.007799992997616439,0.0160966407707637,0.14819986695471227,2.28721169781565e-09,0.4839999999999962
