Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M
0.25,0.04,0.0,5.37671618914893,60.8784406614662,0.746488951008653
0.25,0.04,0.0,5.73955761947071,60.6026598195786,0.748603986395367
0.25,0.04,0.0,6.18281163406809,60.2655844461183,0.751185619666345
0.25,0.04,0.0,6.71440402526918,59.8614053908845,0.754282019692271
0.25,0.04,0.0,7.34250340639932,59.3836893602684,0.757939983450848
0.25,0.04,0.0,8.07496649948698,58.8267572891542,0.762206307919824
0.25,0.04,0.0,8.92000560940861,58.1840676384067,0.767127790076885
0.25,0.04,0.0,9.88554798393256,57.4497423078899,0.772749847889215
0.25,0.04,0.0,10.9796177179237,56.6177595904729,0.779122122584597
0.25,0.04,0.0,12.2102749764055,55.6818936749613,0.786289847779048
0.25,0.04,0.0,13.2946040353502,56.1119714750702,0.793363419632899
0.25,0.04,0.0,14.4927314925164,56.6230753114268,0.801199523615533
0.25,0.04,0.0,15.8196937925412,57.1351900205184,0.809522708781315
0.25,0.04,0.0,17.2877579476313,57.5052590340837,0.81748163150728
0.25,0.04,0.0,18.90637947109,57.8849786704826,0.825835220528091
0.25,0.04,0.0,20.3659686066471,56.7512973848932,0.833245007778488
0.25,0.04,0.0,21.7804064722875,54.7544826231851,0.840895481215418
0.25,0.04,0.0,23.3126487131896,52.5913590251301,0.849183140113506
0.25,0.04,0.0,24.9673873876065,50.255475998317,0.858134957073274
0.25,0.04,0.0,26.7493950208203,47.739575906172,0.86777196396693
0.25,0.04,0.0,28.6633028521831,45.0378181395205,0.878125623539265
0.25,0.04,0.0,30.7390602916127,42.2434220057871,0.889215754193934
0.25,0.04,0.0,32.9505705750572,39.9120112096435,0.899950844830286
0.25,0.04,0.0,35.3883551329708,36.7224463115961,0.905065318475831
0.25,0.04,0.0,37.9913187727637,33.2803849979392,0.910110685409147
0.25,0.04,0.0,40.7569163035886,29.6232627375765,0.915471288269495
0.25,0.04,0.0,43.6905474125335,25.7406589294154,0.921121800383686
0.25,0.04,0.0,44.0991844870376,25.1817406410745,0.921866707770057
0.25,0.04,0.0,44.0991844870375,25.1817406410746,0.921866707770057
0.25,0.04,0.0,44.0991844870375,25.1817406410753,0.921866707770063
0.25,0.04,0.0,44.0991844870376,25.1817406410751,0.921866707770065
0.25,0.1,0.0,0.0,0.0,0.0
0.25,0.1,0.0,0.0,0.0,0.0
0.25,0.1,0.0,0.0,6.59556974750206,0.0124767067030946
0.25,0.1,0.0,0.0,7.68143612791078,0.0274291899820928
0.25,0.1,0.0,0.0,8.76680732053923,0.0423937121476093
0.25,0.1,0.0,0.0,9.84469962936218,0.0573164625478692
0.25,0.1,0.0,0.0,10.9282617441566,0.0722755876675895
0.25,0.1,0.0,0.0,12.0135477638693,0.0872257811335184
0.25,0.1,0.0,0.0,13.0954068497211,0.102186830583974
0.25,0.1,0.0,0.0,14.1789115226413,0.117142337811822
0.25,0.1,0.0,0.0,15.279921157357,0.132027849959199
0.25,0.1,0.0,0.0,16.3839548229213,0.146912972341546
0.25,0.1,0.0,0.0,17.487858429333,0.161798472151971
0.25,0.1,0.0,0.0,18.5919214348481,0.176683556293126
0.25,0.1,0.0,0.0,19.695798564528,0.191568937943787
0.25,0.1,0.0,0.0,20.7998092985443,0.20645440544109
0.25,0.1,0.0,0.0,21.903865769753,0.22133945102204
0.25,0.1,0.0,0.0,23.0078335133806,0.236224795406302
0.25,0.1,0.0,0.0,24.1117894852547,0.251110179433712
0.25,0.1,0.0,0.0,25.2158085294775,0.265995351055597
0.25,0.1,0.0,0.0,26.3580330391385,0.280751860089839
0.25,0.1,0.0,0.0,27.5229084070888,0.295432603558802
0.25,0.1,0.0,0.0,28.6874755012029,0.310113356047494
0.25,0.1,0.0,0.0,29.8521967322309,0.324794104026323
0.25,0.1,0.0,0.0,31.0129151722167,0.339455095900156
0.25,0.1,0.0,0.0,32.192318098537,0.353547284936253
0.25,0.1,0.0,0.0,33.3961648406024,0.367653936915062
0.25,0.1,0.0,0.0,34.5763597832049,0.381747582674867
0.25,0.1,0.0,0.0,35.7567126141031,0.395840990994066
0.25,0.1,0.0,0.0,36.9370307824699,0.409933992349013
0.25,0.1,0.0,0.0,38.1176244837582,0.424023722743843
