Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_EX_co2_e_f,rx_EDD,rx_MALS,rx_AKGDH,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M,rx_EX_glc__D_e_b
0.2,0.01,0.0,3.44868851225784,17.4002278278563,0.0,2.13676712483942,0.0,52.3168631025826,0.650031621719916,8.48474576271187
0.2,0.01,0.0,3.89780491839624,17.3030302668482,0.0,2.16970671441555,0.0,52.1547995279203,0.654560575167984,8.64915254237288
0.2,0.01,0.0,4.34693689889804,17.2058314918,0.0,2.20267634711953,0.0,51.9927356867994,0.659088797392534,8.8135593220339
0.2,0.01,0.0,4.62230620758379,17.4756036688873,0.0,2.24404189425849,0.0,51.8918582760487,0.663142015960292,8.97796610169492
0.2,0.01,0.0,4.85686460674526,17.8316130070469,0.0,2.28742624526459,0.0,51.805359410082,0.667082494197002,9.14237288135593
0.2,0.01,0.0,5.09142300590729,18.1876223452065,0.0,2.3308105962705,0.0,51.7188605441149,0.671022972433721,9.30677966101695
0.2,0.01,0.0,5.32598140506918,18.5436316833654,0.0,2.37419494727598,0.0,51.6323616781477,0.674963450670439,9.47118644067797
0.2,0.01,0.0,5.56053980423097,18.899641021525,0.0,2.41757929828196,0.0,51.5458628121808,0.678903928907157,9.63559322033898
0.2,0.01,0.0,5.79510204097748,19.2556795581136,0.0,2.46099011633908,0.0,51.4593764286155,0.682844407143876,9.8
0.2,0.01,0.0,6.08044115143387,19.688763287857,0.0,2.51376714150532,0.0,51.3541510916634,0.6876379786071,10.0
0.2,0.01,0.0,6.08104243245373,19.6896759038189,0.0,2.51387835592492,0.0,51.3539293555059,0.687648079863576,10.0004214501256
0.2,0.01,0.0,6.08525139959131,19.6960642155493,0.0,2.51465685686102,0.0,51.3523772024046,0.687718788658908,10.0033716010047
0.2,0.01,0.0,6.09667573896572,19.7134039188176,0.0,2.51676993083038,0.0,51.3481642154145,0.687910712531946,10.011379153391
0.2,0.01,0.0,6.11892313669404,19.7471707093916,0.0,2.52088486434917,0.0,51.3399599775919,0.688284459021561,10.0269728080379
0.2,0.01,0.0,6.15560127889522,19.8028402830404,0.0,2.52766894393374,0.0,51.3264340719923,0.688900635666607,10.052681265699
0.2,0.01,0.0,6.21031397490087,19.8858588388349,0.0,2.53776271868193,0.0,51.3062434717587,0.689819850005928,10.0910332271279
0.2,0.01,0.0,6.28668054118804,20.0017905626391,0.0,2.55191368736806,0.0,51.2780955896856,0.691102709578386,10.1445573930781
0.2,0.01,0.0,6.38829703351573,20.1560226601266,0.0,2.57070892425082,0.0,51.2406221790903,0.692809821922839,10.2157824643032
