Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,anhgm4p_c + h2o_c  -> LalaDgluMdapDala_c + anhgm_c ,3.5.1.28,20535.53,25
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,anhm3p_c + h2o_c  -> anhm_c + LalaDgluMdap_c ,3.5.1.28,20535.53,25
AM4PA,Anhydrous-N-Acetylmuramyl-tetrapeptide amidase,anhm4p_c + h2o_c  -> LalaDgluMdapDala_c + anhm_c ,3.5.1.28,20535.53,25
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),dctp_c + h2o_c  -> h_c + ppi_c + dcmp_c ,3.6.1.65,20609.12,14.3
PGSA180,Phosphatidylglycerol synthase (n-C18:0),glyc3p_c + cdpdodecg_c  -> h_c + cmp_c + pgp180_c ,2.7.8.5,20700.12,1
PGSA141,Phosphatidylglycerol synthase (n-C14:1),glyc3p_c + cdpdtdec7eg_c  -> h_c + pgp141_c + cmp_c ,2.7.8.5,20700.12,1
PGSA140,Phosphatidylglycerol synthase (n-C14:0),glyc3p_c + cdpdtdecg_c  -> h_c + pgp140_c + cmp_c ,2.7.8.5,20700.12,1
PGSA181,Phosphatidylglycerol synthase (n-C18:1),glyc3p_c + cdpdodec11eg_c  -> h_c + cmp_c + pgp181_c ,2.7.8.5,20700.12,1
PGSA160,Phosphatidylglycerol synthase (n-C16:0),glyc3p_c + cdpdhdecg_c  -> h_c + pgp160_c + cmp_c ,2.7.8.5,20700.12,1
PGSA161,Phosphatidylglycerol synthase (n-C16:1),cdpdhdec9eg_c + glyc3p_c  -> h_c + pgp161_c + cmp_c ,2.7.8.5,20700.12,1
PGSA120,Phosphatidylglycerol synthase (n-C12:0),glyc3p_c + cdpdddecg_c  -> h_c + pgp120_c + cmp_c ,2.7.8.5,20700.12,1
R15BPK,"Ribose-1,5-bisphosphokinase",r15bp_c + atp_c  -> adp_c + prpp_c ,2.7.4.23,20729.05,23.6
